Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg),Way X (in),Way Y (in),Way Velocity (in/s),Way Orientation (deg),Way Turn Radius (in)
354.01379355351423,1,480.2681142136435,120.09085849136184,354.01379355351423,90,,,,,
355.01379355351423,1,479.3736870226436,120.5380720868618,355.01379355351423,90,,,,,
356.01379355351423,1,478.4792598316437,120.98528568236176,356.01379355351423,90,,,,,
357.01379355351423,1,477.58483264064375,121.43249927786172,357.01379355351423,90,,,,,
358.01379355351423,1,476.69040544964383,121.87971287336168,358.01379355351423,90,,,,,
359.01379355351423,1,475.7959782586439,122.32692646886164,359.01379355351423,90,,,,,
360.01379355351423,1,474.901551067644,122.7741400643616,360.01379355351423,90,,,,,
361.01379355351423,1,474.0071238766441,123.22135365986156,361.01379355351423,90,,,,,
362.01379355351423,1,473.11269668564415,123.66856725536152,362.01379355351423,90,,,,,
363.01379355351423,1,472.21826949464423,124.11578085086148,363.01379355351423,90,,,,,
364.01379355351423,1,471.3238423036443,124.56299444636144,364.01379355351423,90,,,,,
365.01379355351423,1,470.4294151126444,125.0102080418614,365.01379355351423,90,,,,,
366.01379355351423,1,469.5349879216445,125.45742163736136,366.01379355351423,90,,,,,
367.01379355351423,1,468.64056073064455,125.90463523286132,367.01379355351423,90,,,,,
368.01379355351423,1,467.74613353964463,126.35184882836128,368.01379355351423,90,,,,,
369.01379355351423,1,466.8517063486447,126.79906242386124,369.01379355351423,90,,,,,
370.01379355351423,1,465.9572791576448,127.2462760193612,370.01379355351423,90,,,,,
371.01379355351423,1,465.06285196664487,127.69348961486116,371.01379355351423,90,,,,,
372.01379355351423,1,464.16842477564495,128.14070321036112,372.01379355351423,90,,,,,
373.01379355351423,1,463.27399758464503,128.58791680586108,373.01379355351423,90,,,,,
374.01379355351423,1,462.3795703936451,129.03513040136104,374.01379355351423,90,,,,,
375.01379355351423,1,461.4851432026452,129.482343996861,375.01379355351423,90,,,,,
376.03358715006675,1,460.50095863161874,129.749476379254,376.03358715006675,90,,,,,
377.0335704834834,1,459.60156804600126,130.1865841938876,377.0335704834834,90,,,,,
378.03355381690005,1,458.69361575901115,130.60561797732342,378.03355381690005,90,,,,,
379.0335371503167,1,457.77746493945733,131.0064101216351,379.0335371503167,90,,,,,
380.03352048373335,1,456.85348203545243,131.38880031530874,380.03352048373335,90,,,,,
381.03350381715,1,455.92203662783845,131.7526356073654,381.03350381715,90,,,,,
382.0334871505667,1,454.98350128235927,132.0977704685392,382.0334871505667,90,,,,,
383.03347048398336,1,454.0382514006396,132.42406684948753,383.03347048398336,90,,,,,
384.0334538174,1,453.0866650700288,132.73139423600853,384.0334538174,90,,,,,
385.03343715081667,1,452.12912291237154,133.0196297012452,385.03343715081667,90,,,,,
386.0334204842333,1,451.16600793176383,133.28865795485459,386.0334204842333,90,,,,,
387.03340381764997,1,450.19770536135655,133.5383713891222,387.03340381764997,90,,,,,
388.0333871510667,1,449.2246025092673,133.76867012200387,388.0333871510667,90,,,,,
389.0333704844833,1,448.2470886036624,133.97946203707696,389.0333704844833,90,,,,,
390.03335381790004,1,447.26555463707075,134.17066282038599,390.03335381790004,90,,,,,
391.0333371513167,1,446.2803932099921,134.342195994167,391.0333371513167,90,,,,,
392.03332048473334,1,445.2919983738619,134.4939929474375,392.03332048473334,90,,,,,
393.03330381815005,1,444.3007654734361,134.62599296344013,393.03330381815005,90,,,,,
394.0332871515667,1,443.3070909886588,134.73814324392848,394.0332871515667,90,,,,,
395.0332704849834,1,442.3113723760749,134.83039893028567,395.0332704849834,90,,,,,
396.03325381840006,1,441.31400790985356,134.90272312146718,396.03325381840006,90,,,,,
397.0332371518167,1,440.3153965224831,134.9550868887609,397.0332371518167,90,,,,,
398.03322048523336,1,439.3159376452039,134.987469287358,398.03322048523336,90,,,,,
399.03322048523336,1,438.3159376452039,134.987469287358,399.03322048523336,90,,,,,
400.03322048523336,1,437.3159376452039,134.987469287358,400.03322048523336,90,,,,,
401.03322048523336,1,436.3159376452039,134.987469287358,401.03322048523336,90,,,,,
402.03322048523336,1,435.3159376452039,134.987469287358,402.03322048523336,90,,,,,
403.03322048523336,1,434.3159376452039,134.987469287358,403.03322048523336,90,,,,,
404.03322048523336,1,433.3159376452039,134.987469287358,404.03322048523336,90,,,,,
405.03322048523336,1,432.3159376452039,134.987469287358,405.03322048523336,90,,,,,
406.03322048523336,1,431.3159376452039,134.987469287358,406.03322048523336,90,,,,,
407.03322048523336,1,430.3159376452039,134.987469287358,407.03322048523336,90,,,,,
408.03322048523336,1,429.3159376452039,134.987469287358,408.03322048523336,90,,,,,
409.03322048523336,1,428.3159376452039,134.987469287358,409.03322048523336,90,,,,,
410.03322048523336,1,427.3159376452039,134.987469287358,410.03322048523336,90,,,,,
411.03322048523336,1,426.3159376452039,134.987469287358,411.03322048523336,90,,,,,
412.03322048523336,1,425.3159376452039,134.987469287358,412.03322048523336,90,,,,,
413.03322048523336,1,424.3159376452039,134.987469287358,413.03322048523336,90,,,,,
414.03322048523336,1,423.3159376452039,134.987469287358,414.03322048523336,90,,,,,
415.03322048523336,1,422.3159376452039,134.987469287358,415.03322048523336,90,,,,,
416.03322048523336,1,421.3159376452039,134.987469287358,416.03322048523336,90,,,,,
417.03322048523336,1,420.3159376452039,134.987469287358,417.03322048523336,90,,,,,
418.03322048523336,1,419.3159376452039,134.987469287358,418.03322048523336,90,,,,,
419.03322048523336,1,418.3159376452039,134.987469287358,419.03322048523336,90,,,,,
420.03322048523336,1,417.3159376452039,134.987469287358,420.03322048523336,90,,,,,
421.03322048523336,1,416.3159376452039,134.987469287358,421.03322048523336,90,,,,,
422.03322048523336,1,415.3159376452039,134.987469287358,422.03322048523336,90,,,,,
423.03322048523336,1,414.3159376452039,134.987469287358,423.03322048523336,90,,,,,
424.03322048523336,1,413.3159376452039,134.987469287358,424.03322048523336,90,,,,,
425.03322048523336,1,412.3159376452039,134.987469287358,425.03322048523336,90,,,,,
426.03322048523336,1,411.3159376452039,134.987469287358,426.03322048523336,90,,,,,
427.03322048523336,1,410.3159376452039,134.987469287358,427.03322048523336,90,,,,,
428.03322048523336,1,409.3159376452039,134.987469287358,428.03322048523336,90,,,,,
429.03322048523336,1,408.3159376452039,134.987469287358,429.03322048523336,90,,,,,
430.03322048523336,1,407.3159376452039,134.987469287358,430.03322048523336,90,,,,,
431.03322048523336,1,406.3159376452039,134.987469287358,431.03322048523336,90,,,,,
432.03322048523336,1,405.3159376452039,134.987469287358,432.03322048523336,90,,,,,
433.03322048523336,1,404.3159376452039,134.987469287358,433.03322048523336,90,,,,,
434.03322048523336,1,403.3159376452039,134.987469287358,434.03322048523336,90,,,,,
435.03322048523336,1,402.3159376452039,134.987469287358,435.03322048523336,90,,,,,
436.03322048523336,1,401.3159376452039,134.987469287358,436.03322048523336,90,,,,,
437.03322048523336,1,400.3159376452039,134.987469287358,437.03322048523336,90,,,,,
438.03322048523336,1,399.3159376452039,134.987469287358,438.03322048523336,90,,,,,
439.03322048523336,1,398.3159376452039,134.987469287358,439.03322048523336,90,,,,,
440.03322048523336,1,397.3159376452039,134.987469287358,440.03322048523336,90,,,,,
441.03322048523336,1,396.3159376452039,134.987469287358,441.03322048523336,90,,,,,
442.03322048523336,1,395.3159376452039,134.987469287358,442.03322048523336,90,,,,,
443.03322048523336,1,394.3159376452039,134.987469287358,443.03322048523336,90,,,,,
444.03322048523336,1,393.3159376452039,134.987469287358,444.03322048523336,90,,,,,
445.03322048523336,1,392.3159376452039,134.987469287358,445.03322048523336,90,,,,,
446.03322048523336,1,391.3159376452039,134.987469287358,446.03322048523336,90,,,,,
447.03322048523336,1,390.3159376452039,134.987469287358,447.03322048523336,90,,,,,
448.03322048523336,1,389.3159376452039,134.987469287358,448.03322048523336,90,,,,,
449.03322048523336,1,388.3159376452039,134.987469287358,449.03322048523336,90,,,,,
450.03322048523336,1,387.3159376452039,134.987469287358,450.03322048523336,90,,,,,
451.03322048523336,1,386.3159376452039,134.987469287358,451.03322048523336,90,,,,,
452.03322048523336,1,385.3159376452039,134.987469287358,452.03322048523336,90,,,,,
453.03322048523336,1,384.3159376452039,134.987469287358,453.03322048523336,90,,,,,
454.03322048523336,1,383.3159376452039,134.987469287358,454.03322048523336,90,,,,,
455.03322048523336,1,382.3159376452039,134.987469287358,455.03322048523336,90,,,,,
456.03322048523336,1,381.3159376452039,134.987469287358,456.03322048523336,90,,,,,
457.03322048523336,1,380.3159376452039,134.987469287358,457.03322048523336,90,,,,,
458.03322048523336,1,379.3159376452039,134.987469287358,458.03322048523336,90,,,,,
459.03322048523336,1,378.3159376452039,134.987469287358,459.03322048523336,90,,,,,
460.03322048523336,1,377.3159376452039,134.987469287358,460.03322048523336,90,,,,,
461.03322048523336,1,376.3159376452039,134.987469287358,461.03322048523336,90,,,,,
462.03322048523336,1,375.3159376452039,134.987469287358,462.03322048523336,90,,,,,
463.03322048523336,1,374.3159376452039,134.987469287358,463.03322048523336,90,,,,,
464.03322048523336,1,373.3159376452039,134.987469287358,464.03322048523336,90,,,,,
465.03322048523336,1,372.3159376452039,134.987469287358,465.03322048523336,90,,,,,
466.03322048523336,1,371.3159376452039,134.987469287358,466.03322048523336,90,,,,,
467.03322048523336,1,370.3159376452039,134.987469287358,467.03322048523336,90,,,,,
468.03322048523336,1,369.3159376452039,134.987469287358,468.03322048523336,90,,,,,
469.03322048523336,1,368.3159376452039,134.987469287358,469.03322048523336,90,,,,,
470.03322048523336,1,367.3159376452039,134.987469287358,470.03322048523336,90,,,,,
471.03322048523336,1,366.3159376452039,134.987469287358,471.03322048523336,90,,,,,
472.03322048523336,1,365.3159376452039,134.987469287358,472.03322048523336,90,,,,,
473.03322048523336,1,364.3159376452039,134.987469287358,473.03322048523336,90,,,,,
474.03322048523336,1,363.3159376452039,134.987469287358,474.03322048523336,90,,,,,
475.03322048523336,1,362.3159376452039,134.987469287358,475.03322048523336,90,,,,,
476.03322048523336,1,361.3159376452039,134.987469287358,476.03322048523336,90,,,,,
477.03322048523336,1,360.3159376452039,134.987469287358,477.03322048523336,90,,,,,
478.03322048523336,1,359.3159376452039,134.987469287358,478.03322048523336,90,,,,,
479.03337354236015,1,358.3158619321506,134.99990736763544,479.03337354236015,90,,,,,
480.03170770882843,1,357.32314036355035,134.89419551790317,480.03170770882843,90,,,,,
481.0300418752967,1,356.37120883550654,134.59336753739916,481.0300418752967,90,,,,,
482.02837604176494,1,355.49801785404867,134.10941648838852,482.02837604176494,90,,,,,
483.0267102082332,1,354.7383787880939,133.46163597199944,483.0267102082332,90,,,,,
484.0250443747015,1,354.1225760500222,132.67585095323076,484.0250443747015,90,,,,,
485.0233785411698,1,353.6751597517225,131.78338820109275,485.0233785411698,90,,,,,
486.0217127076381,1,353.41396696910437,130.81982738918407,486.0217127076381,90,,,,,
487.02004687410636,1,353.3494106341692,129.82358264638356,487.02004687410636,90,,,,,
488.01838104057464,1,353.4840644042716,128.8343711067546,488.01838104057464,90,,,,,
489.01838104057464,1,353.9558619845403,127.95266421483838,489.01838104057464,90,,,,,
490.01838104057464,1,354.42765956480906,127.07095732292217,490.01838104057464,90,,,,,
491.01838104057464,1,354.8994571450778,126.18925043100596,491.01838104057464,90,,,,,
492.01838104057464,1,355.37125472534655,125.30754353908975,492.01838104057464,90,,,,,
493.01838104057464,1,355.8430523056153,124.42583664717354,493.01838104057464,90,,,,,
494.020503691915,1,356.151413129785,123.47233603865416,494.020503691915,90,,,,,
495.0188378583833,1,356.45966869200913,122.52278371450566,495.0188378583833,90,,,,,
496.01717202485156,1,356.5731327411852,121.53091829143534,496.01717202485156,90,,,,,
497.01550619131984,1,356.487281823729,120.53628231384863,497.01550619131984,90,,,,,
498.0138403577881,1,356.20553854480136,119.57852877941662,498.0138403577881,90,,,,,
499.0121745242564,1,355.7391351198408,118.69584029919103,499.0121745242564,90,,,,,
500.0105086907247,1,355.1066655815793,117.9234068773939,500.0105086907247,90,,,,,
501.008842857193,1,354.3333444946344,117.29202299699766,501.008842857193,90,,,,,
502.0071770236613,1,353.45000173038665,116.82685994086665,502.0071770236613,90,,,,,
503.0055111901296,1,352.49185337729745,116.54646229214191,503.0055111901296,90,,,,,
504.0038453565978,1,351.49709778659246,116.46200862023215,504.0038453565978,90,,,,,
505.0038453565978,1,350.5422912432182,116.75923658784225,505.0038453565978,90,,,,,
506.0038453565978,1,349.5874846998439,117.05646455545235,506.0038453565978,90,,,,,
507.0038453565978,1,348.63267815646964,117.35369252306245,507.0038453565978,90,,,,,
508.0038453565978,1,347.67787161309536,117.65092049067255,508.0038453565978,90,,,,,
509.0038453565978,1,346.7230650697211,117.94814845828265,509.0038453565978,90,,,,,
510.0038453565978,1,345.7682585263468,118.24537642589274,510.0038453565978,90,,,,,
511.0038453565978,1,344.81345198297254,118.54260439350284,511.0038453565978,90,,,,,
512.0038453565978,1,343.85864543959826,118.83983236111294,512.0038453565978,90,,,,,
513.0038453565978,1,342.903838896224,119.13706032872304,513.0038453565978,90,,,,,
514.0038453565978,1,341.9490323528497,119.43428829633314,514.0038453565978,90,,,,,
515.0038453565978,1,340.99422580947544,119.73151626394323,515.0038453565978,90,,,,,
516.0038453565978,1,340.03941926610116,120.02874423155333,516.0038453565978,90,,,,,
517.0038453565978,1,339.0846127227269,120.32597219916343,517.0038453565978,90,,,,,
518.0038453565978,1,338.1298061793526,120.62320016677353,518.0038453565978,90,,,,,
519.0038453565978,1,337.17499963597834,120.92042813438363,519.0038453565978,90,,,,,
520.0038453565978,1,336.22019309260406,121.21765610199373,520.0038453565978,90,,,,,
521.0038453565978,1,335.2653865492298,121.51488406960382,521.0038453565978,90,,,,,
522.0038453565978,1,334.3105800058555,121.81211203721392,522.0038453565978,90,,,,,
523.0038453565978,1,333.35577346248124,122.10934000482402,523.0038453565978,90,,,,,
524.0038453565978,1,332.40096691910696,122.40656797243412,524.0038453565978,90,,,,,
525.0038453565978,1,331.4461603757327,122.70379594004422,525.0038453565978,90,,,,,
526.0038453565978,1,330.4913538323584,123.00102390765431,526.0038453565978,90,,,,,
527.0038453565978,1,329.53654728898414,123.29825187526441,527.0038453565978,90,,,,,
528.0038453565978,1,328.58174074560986,123.59547984287451,528.0038453565978,90,,,,,
529.0038453565978,1,327.6269342022356,123.89270781048461,529.0038453565978,90,,,,,
530.0038453565978,1,326.6721276588613,124.1899357780947,530.0038453565978,90,,,,,
531.0038453565978,1,325.71732111548704,124.4871637457048,531.0038453565978,90,,,,,
532.0038453565978,1,324.76251457211276,124.7843917133149,532.0038453565978,90,,,,,
533.0038453565978,1,323.8077080287385,125.081619680925,533.0038453565978,90,,,,,
534.0038453565978,1,322.8529014853642,125.3788476485351,534.0038453565978,90,,,,,
535.0327906734024,1,321.8418527048598,125.56992048390035,535.0327906734024,90,,,,,
536.0311248398707,1,321.0107506924354,126.1230394158509,536.0311248398707,90,,,,,
537.0294590063389,1,320.30610315534244,126.83024727525766,537.0294590063389,90,,,,,
538.0277931728073,1,319.75600216724075,127.66334991648952,538.0277931728073,90,,,,,
539.0261273392755,1,319.382378518582,128.589134166248,539.0261273392755,90,,,,,
540.0244615057438,1,319.20012740520065,129.57069192797636,540.0244615057438,90,,,,,
541.0227956722122,1,319.21651460386045,130.5688915911991,541.0227956722122,90,,,,,
542.0211298386804,1,319.4308868086637,131.54393808534473,542.0211298386804,90,,,,,
543.0194640051487,1,319.8346976762955,132.45695938362886,543.0194640051487,90,,,,,
544.0194640051487,1,320.52519997936497,133.18028957756226,544.0194640051487,90,,,,,
545.0194640051487,1,321.21570228243445,133.90361977149567,545.0194640051487,90,,,,,
546.0194640051487,1,321.90620458550393,134.62694996542908,546.0194640051487,90,,,,,
547.0194640051487,1,322.5967068885734,135.35028015936248,547.0194640051487,90,,,,,
548.0194640051487,1,323.2872091916429,136.0736103532959,548.0194640051487,90,,,,,
549.0194640051487,1,323.97771149471237,136.7969405472293,549.0194640051487,90,,,,,
550.0194640051487,1,324.66821379778185,137.5202707411627,550.0194640051487,90,,,,,
551.0194640051487,1,325.3587161008513,138.2436009350961,551.0194640051487,90,,,,,
552.0194640051487,1,326.0492184039208,138.96693112902952,552.0194640051487,90,,,,,
553.0194640051487,1,326.7397207069903,139.69026132296293,553.0194640051487,90,,,,,
554.0194640051487,1,327.43022301005976,140.41359151689633,554.0194640051487,90,,,,,
555.0194640051487,1,328.12072531312924,141.13692171082974,555.0194640051487,90,,,,,
556.0194640051487,1,328.8112276161987,141.86025190476315,556.0194640051487,90,,,,,
557.0194640051487,1,329.5017299192682,142.58358209869655,557.0194640051487,90,,,,,
558.0194640051487,1,330.1922322223377,143.30691229262996,558.0194640051487,90,,,,,
559.0194640051487,1,330.88273452540716,144.03024248656337,559.0194640051487,90,,,,,
560.0194640051487,1,331.57323682847664,144.75357268049677,560.0194640051487,90,,,,,
561.0194640051487,1,332.2637391315461,145.47690287443018,561.0194640051487,90,,,,,
562.0194640051487,1,332.9542414346156,146.2002330683636,562.0194640051487,90,,,,,
563.0194640051487,1,333.6447437376851,146.923563262297,563.0194640051487,90,,,,,
564.0194640051487,1,334.33524604075455,147.6468934562304,564.0194640051487,90,,,,,
565.0194640051487,1,335.02574834382403,148.3702236501638,565.0194640051487,90,,,,,
566.0194640051487,1,335.7162506468935,149.09355384409722,566.0194640051487,90,,,,,
567.0194640051487,1,336.406752949963,149.81688403803062,567.0194640051487,90,,,,,
568.0194640051487,1,337.0972552530325,150.54021423196403,568.0194640051487,90,,,,,
569.0194640051487,1,337.78775755610195,151.26354442589744,569.0194640051487,90,,,,,
570.0194640051487,1,338.47825985917143,151.98687461983084,570.0194640051487,90,,,,,
571.0194640051487,1,339.1687621622409,152.71020481376425,571.0194640051487,90,,,,,
572.0194640051487,1,339.8592644653104,153.43353500769766,572.0194640051487,90,,,,,
573.0194640051487,1,340.54976676837987,154.15686520163106,573.0194640051487,90,,,,,
574.0194640051487,1,341.24026907144935,154.88019539556447,574.0194640051487,90,,,,,
575.0194640051487,1,341.9307713745188,155.60352558949788,575.0194640051487,90,,,,,
576.0210474055572,1,342.49500373002246,156.43105876525377,576.0210474055572,90,,,,,
577.0193815720255,1,343.05039040693146,157.26064706498437,577.0193815720255,90,,,,,
578.0177157384937,1,343.42989257440536,158.18403713035246,578.0177157384937,90,,,,,
579.016049904962,1,343.6183806786154,159.1644163133777,579.016049904962,90,,,,,
580.0143840714302,1,343.60834029365526,160.16269998979826,580.0143840714302,90,,,,,
581.0127182378985,1,343.40017169798904,161.1390897397016,581.0127182378985,90,,,,,
582.0110524043668,1,343.00217391661204,162.05465998493506,582.0110524043668,90,,,,,
583.0110524043668,1,342.2389823440968,162.70083227128117,583.0110524043668,90,,,,,
584.0110524043668,1,341.4757907715816,163.3470045576273,584.0110524043668,90,,,,,
585.0110524043668,1,340.7125991990664,163.9931768439734,585.0110524043668,90,,,,,
586.0110524043668,1,339.9494076265512,164.63934913031952,586.0110524043668,90,,,,,
587.0110524043668,1,339.186216054036,165.28552141666563,587.0110524043668,90,,,,,
588.0110524043668,1,338.42302448152077,165.93169370301175,588.0110524043668,90,,,,,
589.0110524043668,1,337.65983290900556,166.57786598935786,589.0110524043668,90,,,,,
590.0110524043668,1,336.89664133649035,167.22403827570398,590.0110524043668,90,,,,,
591.0110524043668,1,336.13344976397514,167.8702105620501,591.0110524043668,90,,,,,
592.0110524043668,1,335.3702581914599,168.5163828483962,592.0110524043668,90,,,,,
593.0110524043668,1,334.6070666189447,169.16255513474232,593.0110524043668,90,,,,,
594.0110524043668,1,333.8438750464295,169.80872742108843,594.0110524043668,90,,,,,
595.0110524043668,1,333.0806834739143,170.45489970743455,595.0110524043668,90,,,,,
596.0110524043668,1,332.3174919013991,171.10107199378066,596.0110524043668,90,,,,,
597.0110524043668,1,331.55430032888387,171.74724428012678,597.0110524043668,90,,,,,
598.0110524043668,1,330.79110875636866,172.3934165664729,598.0110524043668,90,,,,,
599.0110524043668,1,330.02791718385345,173.039588852819,599.0110524043668,90,,,,,
600.0110524043668,1,329.26472561133824,173.68576113916512,600.0110524043668,90,,,,,
601.0110524043668,1,328.501534038823,174.33193342551124,601.0110524043668,90,,,,,
602.0110524043668,1,327.7383424663078,174.97810571185735,602.0110524043668,90,,,,,
603.0110524043668,1,326.9751508937926,175.62427799820347,603.0110524043668,90,,,,,
604.0110524043668,1,326.2119593212774,176.27045028454958,604.0110524043668,90,,,,,
605.0110524043668,1,325.4487677487622,176.9166225708957,605.0110524043668,90,,,,,
606.0110524043668,1,324.68557617624697,177.5627948572418,606.0110524043668,90,,,,,
607.0110524043668,1,323.92238460373176,178.20896714358793,607.0110524043668,90,,,,,
608.0110524043668,1,323.15919303121655,178.85513942993404,608.0110524043668,90,,,,,
609.0110524043668,1,322.39600145870133,179.50131171628016,609.0110524043668,90,,,,,
610.0110524043668,1,321.6328098861861,180.14748400262627,610.0110524043668,90,,,,,
611.0110524043668,1,320.8696183136709,180.7936562889724,611.0110524043668,90,,,,,
612.0449093764134,1,320.33112335747995,181.67620001072586,612.0449093764134,90,,,,,
613.0432435428818,1,319.6798350282248,182.4328337531098,613.0432435428818,90,,,,,
614.0415777093501,1,319.1918490234401,183.303776212215,614.0415777093501,90,,,,,
615.0399118758183,1,318.8866198052078,184.2543056606148,615.0399118758183,90,,,,,
616.0382460422867,1,318.77631589925227,185.24652748877062,616.0382460422867,90,,,,,
617.036580208755,1,318.86533477421995,186.24088494353094,617.036580208755,90,,,,,
618.0349143752233,1,319.15012752848105,187.19773613105085,618.0349143752233,90,,,,,
619.0332485416916,1,319.61934037363875,188.0789344140025,619.0332485416916,90,,,,,
620.3021987496656,1,319.3783362405045,189.32478819279424,620.3021987496656,90,,,,,
621.3020945862542,1,319.86189096006535,190.19998332373217,621.3020945862542,90,,,,,
622.3019904228427,1,320.3010998365479,191.0982523518334,622.3019904228427,90,,,,,
623.3018862594312,1,320.69486507649657,192.0173500723371,623.3018862594312,90,,,,,
624.3017820960197,1,321.04220247188044,192.95497921959895,624.3017820960197,90,,,,,
625.3016779326082,1,321.3422438601009,193.90879620905855,625.3016779326082,90,,,,,
626.3015737691967,1,321.59423929394586,194.87641699498053,626.3015737691967,90,,,,,
627.3014696057852,1,321.79755891606743,195.85542302932728,627.3014696057852,90,,,,,
628.3013654423737,1,321.95169453329714,196.8433673068694,628.3013654423737,90,,,,,
629.3012612789622,1,322.05626088686415,197.8377804814245,629.3012612789622,90,,,,,
630.3011571155507,1,322.1109966153417,198.8361770379365,630.3011571155507,90,,,,,
631.3010529521392,1,322.1157649079144,199.83606150496902,631.3010529521392,90,,,,,
632.3009487887277,1,322.07055384633406,200.83493469208426,632.3009487887277,90,,,,,
633.3008446253162,1,321.9754764347092,201.83029993651755,633.3008446253162,90,,,,,
634.3007404619048,1,321.83077031705346,202.81966934353397,634.3007404619048,90,,,,,
635.3006362984933,1,321.6367971832996,203.8005700048696,635.3006362984933,90,,,,,
636.3005321350818,1,321.3940418652627,204.77055017971432,636.3005321350818,90,,,,,
637.3004279716703,1,321.10311112481327,205.72718542278693,637.3004279716703,90,,,,,
638.3003238082588,1,320.7647321372887,206.6680846441857,638.3003238082588,90,,,,,
639.3002196448473,1,320.3797506739334,207.59089608586805,639.3002196448473,90,,,,,
640.3001154814358,1,319.9491289879113,208.49331319982062,640.3001154814358,90,,,,,
641.3000113180243,1,319.473943409174,209.3730804132283,641.3000113180243,90,,,,,
642.2999071546128,1,318.9553816541966,210.22799876623148,642.2999071546128,90,,,,,
643.2998029912013,1,318.39473985730456,211.05593140818053,643.2998029912013,90,,,,,
644.2996988277898,1,317.7934193310137,211.85480893864954,644.2996988277898,90,,,,,
645.2995946643783,1,317.152923063478,212.62263457985975,645.2995946643783,90,,,,,
646.2994905009668,1,316.4748519618023,213.35748916758396,646.2994905009668,90,,,,,
647.2993863375553,1,315.7609008506082,214.05753594805776,647.2993863375553,90,,,,,
648.2992821741439,1,315.0128542358551,214.72102516890723,648.2992821741439,90,,,,,
649.2991780107324,1,314.2325818445048,215.34629845261884,649.2991780107324,90,,,,,
650.2990738473209,1,313.42203395117764,215.93179294161925,650.2990738473209,90,,,,,
651.2989696839094,1,312.5832365034817,216.47604520460567,651.2989696839094,90,,,,,
652.2988655204979,1,311.71828605819906,216.97769489436166,652.2988655204979,90,,,,,
653.2987613570864,1,310.82934454098535,217.435488147917,653.2987613570864,90,,,,,
654.2986571936749,1,309.9186338426818,217.84828072055188,654.2986571936749,90,,,,,
655.2985530302634,1,308.9884302657453,218.21504084581298,655.2985530302634,90,,,,,
656.2985530302634,1,308.02849097746616,218.49524891639294,656.2985530302634,90,,,,,
657.2985530302634,1,307.068551689187,218.7754569869729,657.2985530302634,90,,,,,
658.2985530302634,1,306.1086124009079,219.05566505755286,658.2985530302634,90,,,,,
659.2985530302634,1,305.1486731126287,219.33587312813282,659.2985530302634,90,,,,,
660.2985530302634,1,304.1887338243496,219.61608119871278,660.2985530302634,90,,,,,
661.2985530302634,1,303.22879453607044,219.89628926929274,661.2985530302634,90,,,,,
662.2985530302634,1,302.2688552477913,220.1764973398727,662.2985530302634,90,,,,,
663.2985530302634,1,301.30891595951215,220.45670541045266,663.2985530302634,90,,,,,
664.2985530302634,1,300.348976671233,220.73691348103262,664.2985530302634,90,,,,,
665.2985530302634,1,299.38903738295386,221.01712155161258,665.2985530302634,90,,,,,
666.2985530302634,1,298.4290980946747,221.29732962219254,666.2985530302634,90,,,,,
667.2985530302634,1,297.46915880639557,221.5775376927725,667.2985530302634,90,,,,,
668.2985530302634,1,296.5092195181164,221.85774576335245,668.2985530302634,90,,,,,
669.2985530302634,1,295.5492802298373,222.13795383393241,669.2985530302634,90,,,,,
670.2985530302634,1,294.58934094155813,222.41816190451237,670.2985530302634,90,,,,,
671.2985530302634,1,293.629401653279,222.69836997509233,671.2985530302634,90,,,,,
672.2985530302634,1,292.66946236499984,222.9785780456723,672.2985530302634,90,,,,,
673.2985530302634,1,291.7095230767207,223.25878611625225,673.2985530302634,90,,,,,
674.2985530302634,1,290.74958378844156,223.5389941868322,674.2985530302634,90,,,,,
675.2985530302634,1,289.7896445001624,223.81920225741217,675.2985530302634,90,,,,,
676.2985530302634,1,288.82970521188327,224.09941032799213,676.2985530302634,90,,,,,
677.2985530302634,1,287.8697659236041,224.3796183985721,677.2985530302634,90,,,,,
678.2985530302634,1,286.909826635325,224.65982646915205,678.2985530302634,90,,,,,
679.2985530302634,1,285.94988734704583,224.940034539732,679.2985530302634,90,,,,,
680.2985530302634,1,284.9899480587667,225.22024261031197,680.2985530302634,90,,,,,
681.2985530302634,1,284.03000877048754,225.50045068089193,681.2985530302634,90,,,,,
682.2985530302634,1,283.0700694822084,225.7806587514719,682.2985530302634,90,,,,,
683.2985530302634,1,282.11013019392925,226.06086682205185,683.2985530302634,90,,,,,
684.2985530302634,1,281.1501909056501,226.3410748926318,684.2985530302634,90,,,,,
685.2985530302634,1,280.19025161737096,226.62128296321177,685.2985530302634,90,,,,,
686.2985530302634,1,279.2303123290918,226.90149103379173,686.2985530302634,90,,,,,
687.2985530302634,1,278.2703730408127,227.1816991043717,687.2985530302634,90,,,,,
688.2985530302634,1,277.3104337525335,227.46190717495165,688.2985530302634,90,,,,,
689.2985530302634,1,276.3504944642544,227.7421152455316,689.2985530302634,90,,,,,
690.2985530302634,1,275.39055517597524,228.02232331611157,690.2985530302634,90,,,,,
691.2985530302634,1,274.4306158876961,228.30253138669153,691.2985530302634,90,,,,,
692.2985530302634,1,273.47067659941695,228.5827394572715,692.2985530302634,90,,,,,
693.2985530302634,1,272.5107373111378,228.86294752785145,693.2985530302634,90,,,,,
694.2985530302634,1,271.55079802285866,229.1431555984314,694.2985530302634,90,,,,,
695.2985530302634,1,270.5908587345795,229.42336366901137,695.2985530302634,90,,,,,
