Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg),Way X (in),Way Y (in),Way Velocity (in/s),Way Orientation (deg),Way Turn Radius (in)
99.99844507684647,1,402.0255960837786,292.14987717607346,99.99844507684647,90,,,,,
100.99844507684647,1,401.16810315806606,291.63538142064596,100.99844507684647,90,,,,,
101.99844507684647,1,400.3106102323535,291.12088566521845,101.99844507684647,90,,,,,
102.99844507684647,1,399.45311730664093,290.60638990979095,102.99844507684647,90,,,,,
103.99584055472646,1,398.60696176037357,290.0783572111667,103.99584055472646,90,,,,,
104.99468354913022,1,397.8972458452699,289.3755125289516,104.99468354913022,90,,,,,
105.99352654353389,1,397.3139635139216,288.5646678771186,105.99352654353389,90,,,,,
106.99236953793766,1,396.8732795827264,287.6682946288253,106.99236953793766,90,,,,,
107.99121253234138,1,396.58740696206144,286.7112344571415,107.99121253234138,90,,,,,
108.99005552674511,1,396.46426819334073,285.72001088442573,108.99005552674511,90,,,,,
109.9888985211488,1,396.507275887372,284.72209422171113,109.9888985211488,90,,,,,
110.9877415155525,1,396.7152381488406,283.7451402692271,110.9877415155525,90,,,,,
111.98658450995626,1,397.08239160794517,282.8162238763601,111.98658450995626,90,,,,,
112.98542750435996,1,397.5985611437581,281.9610886018169,112.98542750435996,90,,,,,
113.9842704987637,1,398.2494418728155,281.203433268561,113.9842704987637,90,,,,,
114.98427049876369,1,399.14386906381543,280.7562196730611,114.98427049876369,90,,,,,
115.98427049876368,1,400.03829625481535,280.30900607756115,115.98427049876368,90,,,,,
116.98427049876366,1,400.93272344581527,279.8617924820612,116.98427049876366,90,,,,,
117.98427049876365,1,401.8271506368152,279.4145788865613,117.98427049876365,90,,,,,
118.98427049876364,1,402.7215778278151,278.96736529106136,118.98427049876364,90,,,,,
119.98427049876362,1,403.61600501881503,278.5201516955614,119.98427049876362,90,,,,,
120.9842704987636,1,404.51043220981495,278.0729381000615,120.9842704987636,90,,,,,
121.98427049876359,1,405.40485940081487,277.62572450456156,121.98427049876359,90,,,,,
122.98427049876358,1,406.2992865918148,277.17851090906163,122.98427049876358,90,,,,,
123.98427049876356,1,407.1937137828147,276.7312973135617,123.98427049876356,90,,,,,
124.98427049876355,1,408.08814097381463,276.28408371806177,124.98427049876355,90,,,,,
125.98427049876354,1,408.98256816481455,275.83687012256183,125.98427049876354,90,,,,,
126.98427049876352,1,409.8769953558145,275.3896565270619,126.98427049876352,90,,,,,
127.98427049876351,1,410.7714225468144,274.94244293156197,127.98427049876351,90,,,,,
128.9842704987635,1,411.6658497378143,274.49522933606204,128.9842704987635,90,,,,,
129.9842704987635,1,412.56027692881423,274.0480157405621,129.9842704987635,90,,,,,
130.9842704987635,1,413.45470411981415,273.6008021450622,130.9842704987635,90,,,,,
