Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg),Touch,Way X (in),Way Y (in),Way Velocity (in/s),Way Orientation (deg),Way Turn Radius (in),Touch this Point
27.529999999999987,0.9808073391742044,482.3635251981155,297.7634105253178,51.36369211509978,180.0,0,,,,,,
28.52999999999999,1.0001388040922012,481.38190649764437,297.95426315664724,52.094582179368466,180.0,0,,,,,,
29.529999999999994,1.0192009367893176,480.40028779717323,298.1451157879767,52.82547224363715,180.0,0,,,,,,
30.529999999999998,1.0380011389895436,479.4186690967021,298.33596841930614,53.556362307905836,180.0,0,,,,,,
31.53,1.0565465114340136,478.437050396231,298.5268210506356,54.28725237217452,180.0,0,,,,,,
32.53,1.0748438699816112,477.45543169575984,298.71767368196504,55.018142436443206,180.0,0,,,,,,
33.53,1.092899760647187,476.4738129952887,298.9085263132945,55.74903250071189,180.0,0,,,,,,
34.53,1.1107204736604137,475.4921942948176,299.09937894462394,56.479922564980576,180.0,0,,,,,,
35.53,1.1283120566208298,474.51057559434645,299.2902315759534,57.21081262924926,180.0,0,,,,,,
36.53,1.1456803268179165,473.5289568938753,299.48108420728283,57.941702693517946,180.0,0,,,,,,
37.53,1.1628308827790006,472.5473381934042,299.6719368386123,58.67259275778663,180.0,0,,,,,,
38.53,1.179769115102344,471.56571949293306,299.86278946994173,59.40348282205532,180.0,0,,,,,,
39.53,1.196500216627865,470.5841007924619,300.0536421012712,60.134372886324,180.0,0,,,,,,
40.53,1.2130291919935068,469.6024820919908,300.24449473260063,60.86526295059269,180.0,0,,,,,,
41.53,1.2293608666212459,468.62086339151966,300.4353473639301,61.59615301486137,180.0,0,,,,,,
42.53,1.2454998951731167,467.63924469104853,300.6261999952595,62.32704307913006,180.0,0,,,,,,
43.53,1.2614507695143173,466.6576259905774,300.817052626589,63.05793314339874,180.0,0,,,,,,
44.53,1.2772178262174838,465.67600729010627,301.0079052579184,63.78882320766743,180.0,0,,,,,,
45.53,1.2928052536394927,464.69438858963514,301.1987578892479,64.51971327193611,180.0,0,,,,,,
46.53,1.308217098599687,463.712769889164,301.3896105205773,65.25060333620479,180.0,0,,,,,,
47.53,1.3234572726861613,462.7311511886929,301.58046315190677,65.98149340047347,180.0,0,,,,,,
48.53,1.3385295582146903,461.74953248822175,301.7713157832362,66.71238346474215,180.0,0,,,,,,
49.53,1.3534376138630118,460.7679137877506,301.96216841456567,67.44327352901082,180.0,0,,,,,,
50.53,1.3681849800014572,459.7862950872795,302.1530210458951,68.1741635932795,180.0,0,,,,,,
51.53,1.3827750837393593,458.80467638680835,302.34387367722456,68.90505365754818,180.0,0,,,,,,
52.53,1.3972112437052315,457.8230576863372,302.534726308554,69.63594372181686,180.0,0,,,,,,
53.53,1.411496674577395,456.8414389858661,302.72557893988346,70.36683378608554,180.0,0,,,,,,
54.53,1.4256344913805263,455.85982028539496,302.9164315712129,71.09772385035421,180.0,0,,,,,,
55.53,1.439627713562492,454.87820158492383,303.10728420254236,71.82861391462289,180.0,0,,,,,,
56.53,1.4534792688648126,453.8965828844527,303.2981368338718,72.55950397889157,180.0,0,,,,,,
57.53,1.467191996999169,452.91496418398157,303.48898946520126,73.29039404316025,180.0,0,,,,,,
58.53,1.480768653141498,451.93334548351044,303.6798420965307,74.02128410742893,180.0,0,,,,,,
59.53,1.4942119112544312,450.9517267830393,303.87069472786015,74.7521741716976,180.0,0,,,,,,
60.53,1.5075243672480976,449.9701080825682,304.0615473591896,75.48306423596628,180.0,0,,,,,,
61.53,1.5207085419886361,448.98848938209704,304.25239999051905,76.21395430023496,180.0,0,,,,,,
62.53,1.5337668841631393,448.0068706816259,304.4432526218485,76.94484436450364,180.0,0,,,,,,
63.53,1.5467017730091703,447.0252519811548,304.63410525317795,77.67573442877232,180.0,0,,,,,,
64.53,1.559515520916465,446.04363328068365,304.8249578845074,78.406624493041,180.0,0,,,,,,
65.53,1.5722103759079338,445.0620145802125,305.01581051583685,79.13751455730967,180.0,0,,,,,,
66.53,1.5847885240066213,444.0803958797414,305.2066631471663,79.86840462157835,180.0,0,,,,,,
67.53,1.597252091494857,443.09877717927026,305.39751577849574,80.59929468584703,180.0,0,,,,,,
68.53,1.6096031470714354,442.1171584787991,305.5883684098252,81.3301847501157,180.0,0,,,,,,
69.53,1.6218437039123017,441.135539778328,305.77922104115464,82.06107481438438,180.0,0,,,,,,
70.53,1.6339757216398734,440.15392107785686,305.9700736724841,82.79196487865306,180.0,0,,,,,,
70.68680332677341,1.6358683554650648,440.0,306.0,82.90657087223603,180.0,0,,,,,,
71.68680332677341,1.6480382162671179,439.0,306.0,81.43384620653588,180.50002050497707,0,,,,,,
72.68680332677341,1.66043017636299,438.0,306.0,79.96112154083572,181.00004100995415,0,,,,,,
73.68680332677341,1.6730524930477872,437.0,306.0,78.48839687513556,181.50006151493122,0,,,,,,
74.68680332677341,1.6859138928283441,436.0,306.0,77.01567220943541,182.0000820199083,0,,,,,,
75.68680332677341,1.6990236076595078,435.0,306.0,75.54294754373525,182.50010252488536,0,,,,,,
76.68680332677341,1.7123914147473587,434.0,306.0,74.0702228780351,183.00012302986244,0,,,,,,
77.68680332677341,1.7260276803491654,433.0,306.0,72.59749821233494,183.5001435348395,0,,,,,,
78.68680332677341,1.739943408061528,432.0,306.0,71.12477354663478,184.00016403981658,0,,,,,,
79.68680332677341,1.7541502921601444,431.0,306.0,69.65204888093463,184.50018454479365,0,,,,,,
80.68680332677341,1.768660776638918,430.0,306.0,68.17932421523447,185.00020504977073,0,,,,,,
81.68680332677341,1.7834881206951285,429.0,306.0,66.70659954953432,185.5002255547478,0,,,,,,
82.68680332677341,1.7986464715240853,428.0,306.0,65.23387488383416,186.00024605972487,0,,,,,,
83.68680332677341,1.8141509454246798,427.0,306.0,63.761150218134006,186.50026656470195,0,,,,,,
