Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg),Touch,Way X (in),Way Y (in),Way Velocity (in/s),Way Orientation (deg),Way Turn Radius (in),Touch this Point
0.0,0.0,180.0,162.0,0.0,0.0,0,180.0,162.0,0.0,0.0,3.0,0.0
1.0000000000000133,0.16666666666666888,180.99991742560914,162.01285075730124,12.0,0.0,0,257.81,163.0,60.0,0.0,10.0,0.0
2.0000000000000266,0.25000000000000333,181.99983485121828,162.02570151460247,12.0,0.0,0,330.0,156.05,60.0,0.0,30.0,0.0
3.00000000000004,0.33333333333333776,182.99975227682742,162.0385522719037,12.0,0.0,0,314.45,104.23,60.0,0.0,30.0,0.0
4.000000000000053,0.4166666666666722,183.99966970243656,162.05140302920495,12.0,0.0,0,246.97,105.44,60.0,0.0,30.0,0.0
5.000000000000067,0.5000000000000067,184.9995871280457,162.06425378650619,12.0,0.0,0,258.42,145.81,60.0,0.0,15.0,0.0
6.00000000000008,0.5833333333333411,185.99950455365484,162.07710454380742,12.0,0.0,0,285.0,165.0,60.0,0.0,30.0,0.0
7.000000000000093,0.6666666666666756,186.99942197926399,162.08995530110866,12.0,0.0,0,384.35,156.65,60.0,0.0,30.0,0.0
8.000000000000107,0.7500000000000101,187.99933940487313,162.1028060584099,12.0,0.0,0,410.0,191.0,60.0,0.0,30.0,0.0
9.00000000000012,0.8333333333333446,188.99925683048227,162.11565681571113,12.0,0.0,0,385.23,223.0,60.0,0.0,16.0,0.0
10.000000000000135,0.9166666666666791,189.9991742560914,162.12850757301237,12.0,0.0,0,330.22,214.77,60.0,0.0,30.0,0.0
11.00000000000015,1.0000000000000135,190.99909168170055,162.1413583303136,12.0,0.0,0,390.0,132.0,60.0,0.0,10.0,0.0
12.000000000000163,1.0833333333333481,191.9990091073097,162.15420908761484,12.0,0.0,0,430.98,103.51,60.0,0.0,30.0,0.0
13.000000000000178,1.1666666666666827,192.99892653291883,162.16705984491608,12.0,0.0,0,475.49,123.93,60.0,0.0,25.0,0.0
14.000000000000192,1.2500000000000173,193.99884395852797,162.17991060221732,12.0,0.0,0,460.54,154.59,60.0,0.0,30.0,0.0
15.000000000000206,1.333333333333352,194.9987613841371,162.19276135951856,12.0,0.0,0,432.65,167.69,60.0,0.0,30.0,0.0
16.00000000000022,1.415513652784078,195.99867880974625,162.2056121168198,12.33672700918616,0.0,0,367.64,157.68,60.0,0.0,30.0,0.0
17.000000000000234,1.4941161029294794,196.9985962353554,162.21846287412103,13.107772447260295,0.0,0,270.0,167.0,96.0,0.0,50.0,0.0
18.00000000000025,1.5682269844951437,197.99851366096453,162.23131363142227,13.878817885334431,0.0,0,157.2,162.0,144.0,0.0,3.0,0.0
19.000000000000263,1.638331872462664,198.99843108657367,162.2441643887235,14.649863323408567,0.0,0,120.0,162.0,0.0,0.0,3.0,0.0
