Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg)
102.0859454,4.67711469,160.1069383,122.1776567,120,-58.06871453
103.0859454,4.685448023,160.6358401,121.3289737,120,-58.06871453
104.0859454,4.693781356,161.1647419,120.4802906,120,-58.06871453
105.0859454,4.70211469,161.6936438,119.6316076,120,-58.06871453
106.0859454,4.710448023,162.2225456,118.7829246,120,-58.06871453
107.0859454,4.718781356,162.7514474,117.9342416,120,-58.06871453
108.0859454,4.72711469,163.2803492,117.0855586,120,-58.06871453
109.0859454,4.735448023,163.8092511,116.2368756,120,-58.06871453
110.0859454,4.743781356,164.3381529,115.3881926,120,-58.06871453
111.0859454,4.75211469,164.8670547,114.5395095,120,-58.06871453
112.0859454,4.760448023,165.3959565,113.6908265,120,-58.06871453
113.0859454,4.768781356,165.9248584,112.8421435,120,-58.06871453
114.0859454,4.77711469,166.4537602,111.9934605,120,-58.06871453
115.0859454,4.785448023,166.982662,111.1447775,120,-58.06871453
116.0859454,4.793781356,167.5115638,110.2960945,120,-58.06871453
117.0859454,4.80211469,168.0404657,109.4474114,120,-58.06871453
118.0859454,4.810448023,168.5693675,108.5987284,120,-58.06871453
119.0859454,4.818781356,169.0982693,107.7500454,120,-58.06871453
120.0859454,4.82711469,169.6271711,106.9013624,120,-58.06871453
121.0859454,4.835448023,170.156073,106.0526794,120,-58.06871453
122.0859454,4.843781356,170.6849748,105.2039964,120,-58.06871453
123.0859454,4.85211469,171.2138766,104.3553133,120,-58.06871453
124.0859454,4.860448023,171.7427784,103.5066303,120,-58.06871453
125.0859454,4.868781356,172.2716802,102.6579473,120,-58.06871453
126.0859454,4.87711469,172.8005821,101.8092643,120,-58.75516345
126.9914168,4.884660285,173.2702467,101.0351237,120,-60.12806129
127.8968883,4.89220588,173.7212286,100.2499524,120,-61.50095913
128.8023597,4.899842413,174.1532689,99.4542014,117.1420529,-65.46665464
129.8031338,4.908491168,174.5688131,98.54377741,114.2841057,-64.57009537
130.8031338,4.917352085,174.9982197,97.64066612,111.4261586,-64.57009537
131.8031338,4.926443227,175.4276262,96.73755482,108.5682115,-64.57009537
132.8031338,4.935776876,175.8570328,95.83444353,105.7102643,-64.57009537
133.8031338,4.945366323,176.2864393,94.93133224,102.8523172,-64.57009537
134.8031338,4.955225987,176.7158459,94.02822094,99.99437007,-64.57009537
135.8031338,4.965371535,177.1452525,93.12510965,97.13642294,-64.57009537
136.8031338,4.975820042,177.574659,92.22199836,94.27847581,-64.57009537
137.8031338,4.986590159,178.0040656,91.31888706,91.42052868,-64.57009537
138.8031338,4.997702313,178.4334721,90.41577577,88.56258154,-64.57009537
139.8031338,5.009178941,178.8628787,89.51266447,85.70463441,-64.57009537
140.8031338,5.021044763,179.2922852,88.60955318,82.84668728,-64.57009537
141.8031338,5.033327103,179.7216918,87.70644189,79.98874015,-64.57009537
142.8031338,5.046056265,180.1510983,86.80333059,77.13079301,-64.57009537
143.8031338,5.059265987,180.5805049,85.9002193,74.27284588,-64.57009537
144.8031338,5.072993978,181.0099115,84.997108,71.41489875,-64.57009537
145.8031338,5.087282565,181.439318,84.09399671,68.55695162,-64.57009537
146.8031338,5.102179483,181.8687246,83.19088542,65.69900448,-64.57009537
147.8031338,5.117738835,182.2981311,82.28777412,62.84105735,-64.57009537
148.8031338,5.134022275,182.7275377,81.38466283,59.98311022,-64.57009537
149.8031338,5.151100488,183.1569442,80.48155154,57.12516309,-64.57009537
150.8031338,5.169055037,183.5863508,79.57844024,54.26721595,-64.57009537
151.8031338,5.187980724,184.0157574,78.67532895,51.40926882,-64.57009537
152.8031338,5.207988609,184.4451639,77.77221765,48.55132169,-64.57009537
153.8031338,5.229209962,184.8745705,76.86910636,45.69337456,-64.57009537
154.8031338,5.25180148,185.303977,75.96599507,42.83542742,-64.57009537
